vendor_id,city_name,specialisation,successful_orders,fail_orders,reorders,density
27848,Кемерово,Суши,91.0,1.0,3.0,0.00546448087431694
35811,Кемерово,Пицца,65.0,3.0,4.0,0.022556390977443608
36101,Кемерово,Пицца,117.0,0.0,1.0,0.0
27843,Кемерово,Суши,72.0,0.0,3.0,0.0
36222,Кемерово,Узбекская,25.0,0.0,1.0,0.0
27598,Кемерово,Бургеры,19.0,0.0,0.0,0.0
12493,Кемерово,Русская,9.0,0.0,0.0,0.0
30820,Кострома,Суши,44.0,4.0,1.0,0.043478260869565216
30826,Кострома,Пицца,34.0,2.0,1.0,0.02857142857142857
30823,Кострома,Суши,40.0,0.0,0.0,0.0
37810,Кострома,Суши,0.0,0.0,0.0,
37582,Кострома,Японская,13.0,0.0,0.0,0.0
37813,Кострома,Суши,0.0,0.0,0.0,
36358,Кострома,Суши,49.0,2.0,3.0,0.02
35862,Кострома,Суши,19.0,1.0,0.0,0.02564102564102564
30825,Кострома,Пицца,49.0,4.0,2.0,0.0392156862745098
37812,Кострома,Суши,1.0,0.0,0.0,0.0
33945,Кострома,Пицца,18.0,1.0,0.0,0.02702702702702703
35864,Кострома,Суши,13.0,1.0,0.0,0.037037037037037035
33058,Кострома,Пицца,43.0,1.0,1.0,0.011494252873563218
36154,Кострома,Суши,49.0,2.0,0.0,0.02
35817,Краснодар,Пицца,4.0,0.0,2.0,0.0
32030,Краснодар,Суши,158.0,6.0,5.0,0.018633540372670808
37329,Краснодар,Суши,31.0,1.0,1.0,0.015873015873015872
7812,Краснодар,Японская,192.0,3.0,3.0,0.007751937984496124
6520,Краснодар,Суши,1300.0,70.0,65.0,0.026217228464419477
36811,Краснодар,Шашлыки,18.0,4.0,8.0,0.1
25272,Краснодар,Мясо,29.0,2.0,2.0,0.03333333333333333
36084,Краснодар,Пицца,0.0,0.0,2.0,
35830,Краснодар,Суши,0.0,0.0,1.0,
22933,Краснодар,Гирос,682.0,9.0,3.0,0.0065549890750182084
37649,Краснодар,Шашлыки,0.0,2.0,1.0,1.0
15107,Краснодар,Пицца,28.0,1.0,1.0,0.017543859649122806
14518,Краснодар,Выпечка,20.0,0.0,0.0,0.0
36070,Краснодар,Пицца,106.0,1.0,0.0,0.004694835680751174
31407,Красноярск,Суши,135.0,1.0,1.0,0.0036900369003690036
26168,Красноярск,Индийская,1.0,0.0,0.0,0.0
16376,Красноярск,Рыба,105.0,4.0,1.0,0.018691588785046728
29200,Красноярск,Пицца,16.0,0.0,0.0,0.0
17448,Красноярск,Шашлыки,130.0,1.0,3.0,0.0038314176245210726
27852,Красноярск,Суши,76.0,2.0,1.0,0.012987012987012988
26136,Красноярск,Сэндвичи,0.0,0.0,1.0,
25792,Красноярск,Суши,211.0,4.0,1.0,0.009389671361502348
26179,Красноярск,Индийская,0.0,1.0,0.0,1.0
31411,Красноярск,Суши,73.0,3.0,0.0,0.020134228187919462
35555,Красноярск,Мясо,7.0,0.0,1.0,0.0
31413,Красноярск,Суши,45.0,1.0,1.0,0.01098901098901099
26166,Красноярск,Индийская,0.0,2.0,0.0,1.0
27844,Красноярск,Суши,86.0,11.0,3.0,0.060109289617486336
34861,Курск,Суши,400.0,2.0,0.0,0.0024937655860349127
30356,Курск,Суши,70.0,0.0,0.0,0.0
31262,Курск,Пицца,202.0,6.0,7.0,0.014634146341463415
37107,Курск,Бургеры,77.0,0.0,0.0,0.0
36519,Курск,Суши,24.0,0.0,2.0,0.0
22903,Курск,Рыба,118.0,1.0,3.0,0.004219409282700422
24130,Курск,Пицца,270.0,8.0,10.0,0.014598540145985401
37217,Курск,Бургеры,67.0,1.0,0.0,0.007407407407407408
35781,Курск,Суши,259.0,2.0,1.0,0.0038461538461538464
36969,Курск,Суши,332.0,5.0,5.0,0.007473841554559043
26509,Курск,Суши,416.0,3.0,4.0,0.003592814371257485
24335,Курск,Шашлыки,18.0,0.0,0.0,0.0
33618,Курск,Пицца,328.0,5.0,1.0,0.007564296520423601
23175,Курск,Пицца,152.0,1.0,4.0,0.003278688524590164
32010,Липецк,Суши,56.0,2.0,0.0,0.017543859649122806
25867,Липецк,Пицца,263.0,4.0,0.0,0.007547169811320755
29461,Липецк,Суши,24.0,2.0,1.0,0.04
36717,Липецк,Пицца,126.0,5.0,2.0,0.019455252918287938
26211,Липецк,Пицца,39.0,0.0,0.0,0.0
9279,Липецк,Суши,177.0,1.0,3.0,0.0028169014084507044
9282,Липецк,Суши,322.0,4.0,8.0,0.006172839506172839
9274,Липецк,Суши,85.0,2.0,3.0,0.011627906976744186
37606,Липецк,Суши,30.0,2.0,0.0,0.03225806451612903
25775,Липецк,Пицца,185.0,0.0,0.0,0.0
28050,Липецк,Пицца,12.0,1.0,0.0,0.04
37529,Липецк,Шашлыки,11.0,0.0,0.0,0.0
9281,Липецк,Суши,343.0,5.0,4.0,0.00723589001447178
9278,Липецк,Суши,224.0,2.0,0.0,0.0044444444444444444
37148,Магнитогорск,Суши,41.0,0.0,0.0,0.0
30188,Магнитогорск,Бургеры,7.0,0.0,1.0,0.0
30187,Магнитогорск,Рыба,1.0,0.0,2.0,0.0
37095,Магнитогорск,Бургеры,8.0,1.0,0.0,0.058823529411764705
36534,Магнитогорск,Бургеры,19.0,5.0,2.0,0.11627906976744186
30189,Магнитогорск,Пицца,18.0,0.0,0.0,0.0
30185,Магнитогорск,Суши,121.0,5.0,0.0,0.020242914979757085
37892,Магнитогорск,Суши,0.0,0.0,0.0,
26088,Москва,Грузинская,9.0,3.0,0.0,0.14285714285714285
37262,Москва,Суши,51.0,3.0,0.0,0.02857142857142857
25618,Москва,Сэндвичи,199.0,3.0,5.0,0.007481296758104738
36466,Москва,Суши,109.0,6.0,1.0,0.026785714285714284
22752,Москва,Фастфуд,2.0,0.0,0.0,0.0
31520,Москва,Рыба,2.0,1.0,0.0,0.2
36429,Москва,Пицца,0.0,0.0,1.0,
24158,Москва,Мясо,13.0,1.0,0.0,0.037037037037037035
25479,Москва,Пицца,841.0,8.0,2.0,0.004733727810650888
36465,Москва,Суши,355.0,2.0,2.0,0.0028089887640449437
10983,Москва,Японская,93.0,3.0,4.0,0.015873015873015872
21268,Москва,Итальянская,3.0,0.0,0.0,0.0
32903,Москва,Суши,14.0,0.0,0.0,0.0
37583,Москва,Пицца,11.0,0.0,0.0,0.0
36880,Набережные Челны,Бургеры,35.0,0.0,0.0,0.0
33338,Набережные Челны,Шашлыки,4.0,0.0,0.0,0.0
27462,Набережные Челны,Суши,111.0,3.0,3.0,0.013333333333333334
27860,Набережные Челны,Мясо,22.0,0.0,0.0,0.0
